date,name,site_rank,IMDB,director,country,genre,user_review,review_count
05/12/2017,Jumanji: Welcome to the Jungle,22,6.9,Jake Kasdan,US,Adventure,6.1,11409
05/12/2017,Jumanji: Welcome to the Jungle,22,6.9,Jake Kasdan,US,Action,6.1,11409
05/12/2017,Jumanji: Welcome to the Jungle,22,6.9,Jake Kasdan,US,Fantasy,6.1,11409
29/05/2019,Godzilla: King of the Monsters,23,6,Michael Dougherty,US,Sci-Fi,6.6,2821
29/05/2019,Godzilla: King of the Monsters,23,6,Michael Dougherty,US,Adventure,6.6,2821
29/05/2019,Godzilla: King of the Monsters,23,6,Michael Dougherty,US,Action,6.6,2821
29/05/2019,Godzilla: King of the Monsters,23,6,Michael Dougherty,US,Fantasy,6.6,2821
26/10/2017,Justice League,24,6.4,Zack Snyder,US,Sci-Fi,6.1,11633
26/10/2017,Justice League,24,6.4,Zack Snyder,US,Adventure,6.1,11633
26/10/2017,Justice League,24,6.4,Zack Snyder,US,Action,6.1,11633
26/10/2017,Justice League,24,6.4,Zack Snyder,US,Fantasy,6.1,11633
05/02/2019,Alita: Battle Angel,25,7.3,Robert Rodriguez,USCanadaArgentina,Thriller,6.8,3424
05/02/2019,Alita: Battle Angel,25,7.3,Robert Rodriguez,USCanadaArgentina,Sci-Fi,6.8,3424
05/02/2019,Alita: Battle Angel,25,7.3,Robert Rodriguez,USCanadaArgentina,Adventure,6.8,3424
05/02/2019,Alita: Battle Angel,25,7.3,Robert Rodriguez,USCanadaArgentina,Romance,6.8,3424
05/02/2019,Alita: Battle Angel,25,7.3,Robert Rodriguez,USCanadaArgentina,Action,6.8,3424
25/06/2018,Ant-Man and the Wasp,26,7.1,Peyton Reed,US,Sci-Fi,6.1,6245
25/06/2018,Ant-Man and the Wasp,26,7.1,Peyton Reed,US,Adventure,6.1,6245
25/06/2018,Ant-Man and the Wasp,26,7.1,Peyton Reed,US,Action,6.1,6245
07/01/2019,Glass,27,6.7,M. Night Shyamalan,US,Drama,6.3,2502
07/01/2019,Glass,27,6.7,M. Night Shyamalan,US,Thriller,6.3,2502
07/01/2019,Glass,27,6.7,M. Night Shyamalan,US,Sci-Fi,6.3,2502
07/01/2019,Glass,27,6.7,M. Night Shyamalan,US,Mystery,6.3,2502
05/06/2019,X-Men: Dark Phoenix,28,5.8,Simon Kinberg,US,Sci-Fi,6,2631
05/06/2019,X-Men: Dark Phoenix,28,5.8,Simon Kinberg,US,Adventure,6,2631
05/06/2019,X-Men: Dark Phoenix,28,5.8,Simon Kinberg,US,Action,6,2631
03/12/2018,Bumblebee,29,6.8,Travis Knight,US,Sci-Fi,6.7,3439
03/12/2018,Bumblebee,29,6.8,Travis Knight,US,Adventure,6.7,3439
03/12/2018,Bumblebee,29,6.8,Travis Knight,US,Action,6.7,3439
10/10/2017,Thor: Ragnarok,30,7.9,Taika Waititi,US,Comedy,6.2,11310
10/10/2017,Thor: Ragnarok,30,7.9,Taika Waititi,US,Sci-Fi,6.2,11310
10/10/2017,Thor: Ragnarok,30,7.9,Taika Waititi,US,Adventure,6.2,11310
10/10/2017,Thor: Ragnarok,30,7.9,Taika Waititi,US,Action,6.2,11310
08/03/2019,Us,31,6.9,Jordan Peele,US,Thriller,6,2209
08/03/2019,Us,31,6.9,Jordan Peele,US,Horror,6,2209
26/08/2019,It Chapter Two,32,6.6,Andy Muschietti,USCanada,Horror,6.2,3743
05/11/2018,Ralph Breaks the Internet,33,7.1,Phil JohnstonRich Moore,US,Animation,6.8,3416
05/11/2018,Ralph Breaks the Internet,33,7.1,Phil JohnstonRich Moore,US,Comedy,6.8,3416
05/11/2018,Ralph Breaks the Internet,33,7.1,Phil JohnstonRich Moore,US,Adventure,6.8,3416
05/11/2018,Ralph Breaks the Internet,33,7.1,Phil JohnstonRich Moore,US,Fantasy,6.8,3416
05/11/2018,Ralph Breaks the Internet,33,7.1,Phil JohnstonRich Moore,US,Family,6.8,3416
21/05/2018,Jurassic World: Fallen Kingdom,34,6.2,J.A. Bayona,USSpain,Sci-Fi,5.6,6554
21/05/2018,Jurassic World: Fallen Kingdom,34,6.2,J.A. Bayona,USSpain,Adventure,5.6,6554
21/05/2018,Jurassic World: Fallen Kingdom,34,6.2,J.A. Bayona,USSpain,Action,5.6,6554
06/02/2018,Fifty Shades Freed,35,4.5,James Foley,US,Drama,5.5,11485
06/02/2018,Fifty Shades Freed,35,4.5,James Foley,US,Thriller,5.5,11485
06/02/2018,Fifty Shades Freed,35,4.5,James Foley,US,Romance,5.5,11485
09/04/2019,Hellboy,36,5.2,Neil Marshall,"US,UK",Sci-Fi,6.1,1989
09/04/2019,Hellboy,36,5.2,Neil Marshall,"US,UK",Adventure,6.1,1989
09/04/2019,Hellboy,36,5.2,Neil Marshall,"US,UK",Action,6.1,1989
09/04/2019,Hellboy,36,5.2,Neil Marshall,"US,UK",Fantasy,6.1,1989
09/04/2019,Hellboy,36,5.2,Neil Marshall,"US,UK",Horror,6.1,1989
07/04/2020,The Mandalorian,37,8.7,Deborah ChowRick FamuyiwaDave FiloniBryce Dallas HowardTaika Waititi,US,Sci-Fi,6.5,5949
07/04/2020,The Mandalorian,37,8.7,Deborah ChowRick FamuyiwaDave FiloniBryce Dallas HowardTaika Waititi,US,Adventure,6.5,5949
07/04/2020,The Mandalorian,37,8.7,Deborah ChowRick FamuyiwaDave FiloniBryce Dallas HowardTaika Waititi,US,Action,6.5,5949
03/01/2019,How to Train Your Dragon: The Hidden World,38,7.5,Dean DeBlois,US,Animation,7.2,4290
03/01/2019,How to Train Your Dragon: The Hidden World,38,7.5,Dean DeBlois,US,Comedy,7.2,4290
03/01/2019,How to Train Your Dragon: The Hidden World,38,7.5,Dean DeBlois,US,Adventure,7.2,4290
03/01/2019,How to Train Your Dragon: The Hidden World,38,7.5,Dean DeBlois,US,Action,7.2,4290
03/01/2019,How to Train Your Dragon: The Hidden World,38,7.5,Dean DeBlois,US,Fantasy,7.2,4290
03/01/2019,How to Train Your Dragon: The Hidden World,38,7.5,Dean DeBlois,US,Family,7.2,4290
14/11/2018,Creed II,39,7.1,Steven Caple Jr.,US,Drama,6.9,1997
14/11/2018,Creed II,39,7.1,Steven Caple Jr.,US,Sport,6.9,1997
19/07/2018,The Equalizer 2,40,6.7,Antoine Fuqua,US,Thriller,6.5,3112
19/07/2018,The Equalizer 2,40,6.7,Antoine Fuqua,US,Action,6.5,3112
19/07/2018,The Equalizer 2,40,6.7,Antoine Fuqua,US,Crime,6.5,3112
07/01/2017,Dragon Ball Super,41,8.4,...,Japan,Animation,6.6,12221
07/01/2017,Dragon Ball Super,41,8.4,...,Japan,Comedy,6.6,12221
07/01/2017,Dragon Ball Super,41,8.4,...,Japan,Sci-Fi,6.6,12221
07/01/2017,Dragon Ball Super,41,8.4,...,Japan,Adventure,6.6,12221
07/01/2017,Dragon Ball Super,41,8.4,...,Japan,Action,6.6,12221
07/01/2017,Dragon Ball Super,41,8.4,...,Japan,Fantasy,6.6,12221
24/05/2019,The Secret Life of Pets 2,43,6.5,Chris RenaudJonathan del Val,USFranceJapan,Animation,6.5,1607
24/05/2019,The Secret Life of Pets 2,43,6.5,Chris RenaudJonathan del Val,USFranceJapan,Comedy,6.5,1607
24/05/2019,The Secret Life of Pets 2,43,6.5,Chris RenaudJonathan del Val,USFranceJapan,Adventure,6.5,1607
24/05/2019,The Secret Life of Pets 2,43,6.5,Chris RenaudJonathan del Val,USFranceJapan,Family,6.5,1607
20/08/2019,Angel Has Fallen,45,6.4,Ric Roman Waugh,US,Action,6.2,2079
19/09/2018,Night School,46,5.6,Malcolm D. Lee,US,Comedy,6.4,2127
08/08/2018,The Meg,47,5.7,Jon Turteltaub,USChina,Thriller,6.4,3936
08/08/2018,The Meg,47,5.7,Jon Turteltaub,USChina,Sci-Fi,6.4,3936
08/08/2018,The Meg,47,5.7,Jon Turteltaub,USChina,Action,6.4,3936
08/08/2018,The Meg,47,5.7,Jon Turteltaub,USChina,Horror,6.4,3936
07/05/2019,Chernobyl,48,9.4,Johan Renck,"US,UK",Drama,7.2,2936
07/05/2019,Chernobyl,48,9.4,Johan Renck,"US,UK",History,7.2,2936
04/12/2019,Jumanji: The Next Level,49,6.7,Jake Kasdan,US,Comedy,6.2,3527
04/12/2019,Jumanji: The Next Level,49,6.7,Jake Kasdan,US,Adventure,6.2,3527
04/12/2019,Jumanji: The Next Level,49,6.7,Jake Kasdan,US,Action,6.2,3527
04/12/2019,Jumanji: The Next Level,49,6.7,Jake Kasdan,US,Fantasy,6.2,3527
08/11/2018,Fantastic Beasts: The Crimes of Grindelwald,50,6.6,David Yates,"US,UK",Adventure,6.6,2307
08/11/2018,Fantastic Beasts: The Crimes of Grindelwald,50,6.6,David Yates,"US,UK",Fantasy,6.6,2307
08/11/2018,Fantastic Beasts: The Crimes of Grindelwald,50,6.6,David Yates,"US,UK",Family,6.6,2307
11/03/2018,Ready Player One,51,7.5,Steven Spielberg,US,Thriller,6,6259
11/03/2018,Ready Player One,51,7.5,Steven Spielberg,US,Sci-Fi,6,6259
11/03/2018,Ready Player One,51,7.5,Steven Spielberg,US,Adventure,6,6259
11/03/2018,Ready Player One,51,7.5,Steven Spielberg,US,Action,6,6259
14/06/2019,Shaft,52,6.4,Tim Story,US,Comedy,6.4,1325
14/06/2019,Shaft,52,6.4,Tim Story,US,Action,6.4,1325
14/06/2019,Shaft,52,6.4,Tim Story,US,Crime,6.4,1325
02/05/2019,Pokémon Detective Pikachu,53,6.6,Rob Letterman,"US,UKJapan",Comedy,6.6,3191
02/05/2019,Pokémon Detective Pikachu,53,6.6,Rob Letterman,"US,UKJapan",Sci-Fi,6.6,3191
02/05/2019,Pokémon Detective Pikachu,53,6.6,Rob Letterman,"US,UKJapan",Adventure,6.6,3191
02/05/2019,Pokémon Detective Pikachu,53,6.6,Rob Letterman,"US,UKJapan",Action,6.6,3191
02/05/2019,Pokémon Detective Pikachu,53,6.6,Rob Letterman,"US,UKJapan",Family,6.6,3191
02/05/2019,Pokémon Detective Pikachu,53,6.6,Rob Letterman,"US,UKJapan",Mystery,6.6,3191
23/10/2019,Terminator: Dark Fate,54,6.3,Tim Miller,USChina,Sci-Fi,6.2,2598
23/10/2019,Terminator: Dark Fate,54,6.3,Tim Miller,USChina,Adventure,6.2,2598
23/10/2019,Terminator: Dark Fate,54,6.3,Tim Miller,USChina,Action,6.2,2598
12/07/2018,Mission: Impossible - Fallout,55,7.7,Christopher McQuarrie,US,Thriller,6.4,3638
12/07/2018,Mission: Impossible - Fallout,55,7.7,Christopher McQuarrie,US,Adventure,6.4,3638
12/07/2018,Mission: Impossible - Fallout,55,7.7,Christopher McQuarrie,US,Action,6.4,3638
23/10/2018,Bohemian Rhapsody,56,8,Bryan Singer,"US,UK",Drama,6.8,2446
23/10/2018,Bohemian Rhapsody,56,8,Bryan Singer,"US,UK",Music,6.8,2446
23/10/2018,Bohemian Rhapsody,56,8,Bryan Singer,"US,UK",Biography,6.8,2446
05/09/2017,It,57,7.3,Andy Muschietti,US,Drama,6.8,15067
05/09/2017,It,57,7.3,Andy Muschietti,US,Horror,6.8,15067
30/01/2017,John Wick: Chapter 2,58,7.5,Chad Stahelski,USHong Kong,Thriller,6.6,9653
30/01/2017,John Wick: Chapter 2,58,7.5,Chad Stahelski,USHong Kong,Action,6.6,9653
30/01/2017,John Wick: Chapter 2,58,7.5,Chad Stahelski,USHong Kong,Crime,6.6,9653
17/06/2019,Euphoria,59,8.3,Sam LevinsonPippa BiancoAugustine FrizzellJennifer Morrison,US,Drama,6.1,4153
26/07/2019,The Boys,61,8.7,Philip SgricciaDaniel AttiasEric KripkeJennifer PhangStefan SchwartzMatt ShakmanFrederick E.O. ToyeDan Trachtenberg,US,Comedy,6.5,2250
26/07/2019,The Boys,61,8.7,Philip SgricciaDaniel AttiasEric KripkeJennifer PhangStefan SchwartzMatt ShakmanFrederick E.O. ToyeDan Trachtenberg,US,Sci-Fi,6.5,2250
26/07/2019,The Boys,61,8.7,Philip SgricciaDaniel AttiasEric KripkeJennifer PhangStefan SchwartzMatt ShakmanFrederick E.O. ToyeDan Trachtenberg,US,Action,6.5,2250
26/07/2019,The Boys,61,8.7,Philip SgricciaDaniel AttiasEric KripkeJennifer PhangStefan SchwartzMatt ShakmanFrederick E.O. ToyeDan Trachtenberg,US,Crime,6.5,2250
10/01/2019,What Men Want,62,5.2,Adam Shankman,US,Comedy,6.4,1479
10/01/2019,What Men Want,62,5.2,Adam Shankman,US,Romance,6.4,1479
10/01/2019,What Men Want,62,5.2,Adam Shankman,US,Fantasy,6.4,1479
07/11/2019,Frozen II,63,6.9,Chris BuckJennifer Lee,US,Animation,6.6,3915
07/11/2019,Frozen II,63,6.9,Chris BuckJennifer Lee,US,Comedy,6.6,3915
07/11/2019,Frozen II,63,6.9,Chris BuckJennifer Lee,US,Adventure,6.6,3915
07/11/2019,Frozen II,63,6.9,Chris BuckJennifer Lee,US,Fantasy,6.6,3915
07/11/2019,Frozen II,63,6.9,Chris BuckJennifer Lee,US,Family,6.6,3915
07/09/2018,The Predator,64,5.4,Shane Black,USCanada,Thriller,6.5,2462
07/09/2018,The Predator,64,5.4,Shane Black,USCanada,Sci-Fi,6.5,2462
07/09/2018,The Predator,64,5.4,Shane Black,USCanada,Adventure,6.5,2462
07/09/2018,The Predator,64,5.4,Shane Black,USCanada,Action,6.5,2462
07/09/2018,The Predator,64,5.4,Shane Black,USCanada,Horror,6.5,2462
17/06/2019,Annabelle Comes Home,65,5.9,Gary Dauberman,US,Thriller,6.2,1467
17/06/2019,Annabelle Comes Home,65,5.9,Gary Dauberman,US,Mystery,6.2,1467
17/06/2019,Annabelle Comes Home,65,5.9,Gary Dauberman,US,Horror,6.2,1467
11/07/2018,Skyscraper,66,5.8,Rawson Marshall Thurber,US,Drama,5.9,3814
11/07/2018,Skyscraper,66,5.8,Rawson Marshall Thurber,US,Thriller,5.9,3814
11/07/2018,Skyscraper,66,5.8,Rawson Marshall Thurber,US,Action,5.9,3814
11/07/2018,Skyscraper,66,5.8,Rawson Marshall Thurber,US,Crime,5.9,3814
28/06/2017,Spider-Man: Homecoming,67,7.4,Jon Watts,US,Sci-Fi,6.7,15474
28/06/2017,Spider-Man: Homecoming,67,7.4,Jon Watts,US,Adventure,6.7,15474
28/06/2017,Spider-Man: Homecoming,67,7.4,Jon Watts,US,Action,6.7,15474
25/09/2019,Gemini Man,70,5.7,Ang Lee,USChina,Drama,6.2,1790
25/09/2019,Gemini Man,70,5.7,Ang Lee,USChina,Thriller,6.2,1790
25/09/2019,Gemini Man,70,5.7,Ang Lee,USChina,Sci-Fi,6.2,1790
25/09/2019,Gemini Man,70,5.7,Ang Lee,USChina,Action,6.2,1790
04/09/2018,The Nun,71,5.3,Corin Hardy,US,Thriller,6.5,3460
04/09/2018,The Nun,71,5.3,Corin Hardy,US,Mystery,6.5,3460
04/09/2018,The Nun,71,5.3,Corin Hardy,US,Horror,6.5,3460
10/04/2019,After,72,5.4,Jenny Gage,US,Drama,6.6,4019
10/04/2019,After,72,5.4,Jenny Gage,US,Romance,6.6,4019
01/08/2016,Suicide Squad,73,6,David Ayer,US,Thriller,6.8,13008
01/08/2016,Suicide Squad,73,6,David Ayer,US,Comedy,6.8,13008
01/08/2016,Suicide Squad,73,6,David Ayer,US,Sci-Fi,6.8,13008
01/08/2016,Suicide Squad,73,6,David Ayer,US,Adventure,6.8,13008
01/08/2016,Suicide Squad,73,6,David Ayer,US,Action,6.8,13008
01/08/2016,Suicide Squad,73,6,David Ayer,US,Crime,6.8,13008
30/05/2019,Ma,74,5.6,Tate Taylor,US,Thriller,6,633
30/05/2019,Ma,74,5.6,Tate Taylor,US,Horror,6,633
05/06/2018,Ocean's 8,76,6.2,Gary Ross,US,Thriller,5.7,3537
05/06/2018,Ocean's 8,76,6.2,Gary Ross,US,Comedy,5.7,3537
05/06/2018,Ocean's 8,76,6.2,Gary Ross,US,Action,5.7,3537
05/06/2018,Ocean's 8,76,6.2,Gary Ross,US,Crime,5.7,3537
07/02/2017,Fifty Shades Darker,77,4.6,James Foley,US,Drama,6.3,16678
07/02/2017,Fifty Shades Darker,77,4.6,James Foley,US,Romance,6.3,16678
20/11/2018,Robin Hood,78,5.3,Otto Bathurst,US,Thriller,6.2,1863
20/11/2018,Robin Hood,78,5.3,Otto Bathurst,US,Adventure,6.2,1863
20/11/2018,Robin Hood,78,5.3,Otto Bathurst,US,Action,6.2,1863
28/02/2019,A Madea Family Funeral,80,4.4,Tyler Perry,US,Comedy,6.3,663
16/11/2001,Harry Potter And The Sorcerer's Stone,81,7.6,Chris Columbus,"US,UK",Adventure,7,10437
16/11/2001,Harry Potter And The Sorcerer's Stone,81,7.6,Chris Columbus,"US,UK",Fantasy,7,10437
16/11/2001,Harry Potter And The Sorcerer's Stone,81,7.6,Chris Columbus,"US,UK",Family,7,10437
11/04/2018,Rampage,82,6.1,Brad Peyton,US,Sci-Fi,5.8,6444
11/04/2018,Rampage,82,6.1,Brad Peyton,US,Adventure,5.8,6444
11/04/2018,Rampage,82,6.1,Brad Peyton,US,Action,5.8,6444
10/07/2019,Crawl,83,6.2,Alexandre Aja,US,Thriller,6.3,1192
10/07/2019,Crawl,83,6.2,Alexandre Aja,US,Adventure,6.3,1192
10/07/2019,Crawl,83,6.2,Alexandre Aja,US,Action,6.3,1192
10/07/2019,Crawl,83,6.2,Alexandre Aja,US,Horror,6.3,1192
18/09/2019,Rambo: Last Blood,84,6.2,Adrian Grunberg,US,Thriller,6.6,1579
18/09/2019,Rambo: Last Blood,84,6.2,Adrian Grunberg,US,Adventure,6.6,1579
18/09/2019,Rambo: Last Blood,84,6.2,Adrian Grunberg,US,Action,6.6,1579
18/09/2019,Rambo: Last Blood,84,6.2,Adrian Grunberg,US,Western,6.6,1579
13/02/2015,Fifty Shades Of Grey,85,4.1,Sam Taylor-Johnson,US,Drama,5.9,11631
13/02/2015,Fifty Shades Of Grey,85,4.1,Sam Taylor-Johnson,US,Romance,5.9,11631
11/03/2019,Dumbo,86,6.3,Tim Burton,US,Fantasy,6.8,751
11/03/2019,Dumbo,86,6.3,Tim Burton,US,Family,6.8,751
06/05/2016,Captain America: Civil War,87,7.8,...,US,Sci-Fi,6.7,9764
06/05/2016,Captain America: Civil War,87,7.8,...,US,Adventure,6.7,9764
06/05/2016,Captain America: Civil War,87,7.8,...,US,Action,6.7,9764
21/05/2019,Once Upon a Time... in Hollywood,88,7.7,Quentin Tarantino,"US,UKChina",Drama,6.1,1443
21/05/2019,Once Upon a Time... in Hollywood,88,7.7,Quentin Tarantino,"US,UKChina",Comedy,6.1,1443
24/10/2014,John Wick,89,7.4,Chad StahelskiDavid Leitch,US,Thriller,6.9,4367
24/10/2014,John Wick,89,7.4,Chad StahelskiDavid Leitch,US,Action,6.9,4367
20/09/2017,Kingsman: The Golden Circle,90,6.7,Matthew Vaughn,"US,UK",Comedy,6.1,7283
20/09/2017,Kingsman: The Golden Circle,90,6.7,Matthew Vaughn,"US,UK",Adventure,6.1,7283
20/09/2017,Kingsman: The Golden Circle,90,6.7,Matthew Vaughn,"US,UK",Action,6.1,7283
08/11/2018,The Grinch,91,6.3,Yarrow CheneyScott Mosier,USChina,Animation,6.6,1438
08/11/2018,The Grinch,91,6.3,Yarrow CheneyScott Mosier,USChina,Comedy,6.6,1438
08/11/2018,The Grinch,91,6.3,Yarrow CheneyScott Mosier,USChina,Fantasy,6.6,1438
08/11/2018,The Grinch,91,6.3,Yarrow CheneyScott Mosier,USChina,Family,6.6,1438
13/06/2018,Hotel Transylvania 3: Summer Vacation,92,6.3,Genndy Tartakovsky,US,Animation,6.3,3445
13/06/2018,Hotel Transylvania 3: Summer Vacation,92,6.3,Genndy Tartakovsky,US,Comedy,6.3,3445
13/06/2018,Hotel Transylvania 3: Summer Vacation,92,6.3,Genndy Tartakovsky,US,Fantasy,6.3,3445
13/06/2018,Hotel Transylvania 3: Summer Vacation,92,6.3,Genndy Tartakovsky,US,Family,6.3,3445
16/10/2019,Maleficent: Mistress of Evil,94,6.6,Joachim RÃ¸nning,"US,UK",Adventure,6.3,2453
16/10/2019,Maleficent: Mistress of Evil,94,6.6,Joachim RÃ¸nning,"US,UK",Fantasy,6.3,2453
16/10/2019,Maleficent: Mistress of Evil,94,6.6,Joachim RÃ¸nning,"US,UK",Family,6.3,2453
17/01/2018,Maze Runner: The Death Cure,95,6.2,Wes Ball,US,Thriller,6.2,5028
17/01/2018,Maze Runner: The Death Cure,95,6.2,Wes Ball,US,Sci-Fi,6.2,5028
17/01/2018,Maze Runner: The Death Cure,95,6.2,Wes Ball,US,Action,6.2,5028
12/02/2016,Deadpool,96,8,Tim Miller,US,Thriller,6.8,8551
12/02/2016,Deadpool,96,8,Tim Miller,US,Sci-Fi,6.8,8551
12/02/2016,Deadpool,96,8,Tim Miller,US,Adventure,6.8,8551
12/02/2016,Deadpool,96,8,Tim Miller,US,Action,6.8,8551
12/02/2016,Deadpool,96,8,Tim Miller,US,Fantasy,6.8,8551
